iter	Passed	Remaining
673	2857	1381
674	2860	1377
675	2863	1372
676	2866	1367
677	2870	1363
678	2873	1358
679	2876	1353
680	2879	1348
681	2883	1344
682	2886	1339
683	2888	1334
684	2892	1329
685	2894	1325
686	2898	1320
687	2902	1316
688	2905	1311
689	2908	1306
690	2912	1302
691	2916	1298
692	2920	1293
693	2924	1289
694	2927	1284
695	2932	1280
696	2935	1276
697	2939	1271
698	2942	1267
699	2947	1263
700	2950	1258
701	2953	1253
702	2956	1249
703	2959	1244
704	2964	1240
705	2967	1235
706	2971	1231
707	2974	1226
708	2978	1222
709	2981	1217
710	2984	1213
711	2987	1208
712	2990	1203
713	2994	1199
714	2998	1195
715	3001	1190
716	3004	1185
717	3007	1181
718	3012	1177
719	3015	1172
720	3018	1168
721	3021	1163
722	3025	1159
723	3028	1154
724	3031	1149
725	3035	1145
726	3037	1140
727	3043	1137
728	3047	1132
729	3050	1128
730	3054	1123
731	3058	1119
732	3062	1115
733	3065	1110
734	3068	1106
735	3071	1101
736	3074	1097
737	3077	1092
738	3080	1088
739	3083	1083
740	3087	1079
741	3091	1074
742	3093	1070
743	3096	1065
744	3100	1061
745	3104	1057
746	3107	1052
747	3111	1048
748	3114	1043
749	3117	1039
750	3121	1034
751	3124	1030
752	3127	1025
753	3130	1021
754	3133	1016
755	3137	1012
756	3140	1007
757	3143	1003
758	3146	998
759	3149	994
760	3153	990
761	3156	985
762	3159	981
763	3162	976
764	3167	972
765	3169	968
766	3173	964
767	3176	959
768	3179	955
769	3183	950
770	3186	946
771	3189	942
772	3192	937
773	3195	933
774	3199	928
775	3203	924
776	3206	920
777	3209	915
778	3213	911
779	3215	907
780	3218	902
781	3222	898
782	3225	893
783	3228	889
784	3232	885
785	3234	880
786	3237	876
787	3240	871
788	3245	867
789	3248	863
790	3251	859
791	3254	854
792	3257	850
793	3262	846
794	3265	842
795	3268	837
796	3271	833
797	3274	828
798	3278	824
799	3281	820
800	3284	815
801	3287	811
802	3291	807
803	3294	803
804	3297	798
805	3300	794
806	3302	789
807	3306	785
808	3309	781
809	3312	776
810	3315	772
811	3318	768
812	3321	764
813	3325	759
814	3328	755
815	3331	751
816	3334	746
817	3337	742
818	3340	738
819	3343	733
820	3346	729
821	3349	725
822	3353	721
823	3357	717
824	3360	712
825	3364	708
826	3367	704
827	3371	700
828	3374	696
829	3377	691
830	3380	687
831	3383	683
832	3387	679
833	3390	674
834	3393	670
835	3396	666
836	3399	661
837	3403	657
838	3406	653
839	3409	649
840	3412	645
841	3415	640
842	3419	636
843	3422	632
844	3426	628
845	3430	624
846	3434	620
847	3438	616
848	3441	612
849	3443	607
850	3446	603
851	3451	599
852	3454	595
853	3457	591
854	3460	586
855	3464	582
